FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,REGULATION,ACCRED_STATUS,BEDS_TOTAL,INCIDENT_OUTBREAK_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,latitude,longitude,Total Confirmed Cases,Total Deaths,outbreak,rooms_semi_binary,rooms_multi_binary,rooms_shared,resident_council,family_council,res_fam_council,beds_privatebinary,complaints_100,sub_complaints_100,incident_100sumXoutbreak,infractions_disease_100,infractions_100Xdisease
Broadway Pentecostal Lodge,9A9CE,Vancouver Coastal Health,PNP,1377 Lamey's Mill Rd,Vancouver,V6H3S9,Community Care & Assisted Living Act,Not Accredited,114,0.0,82.0,44.5,40.1,5.5,753.0,25.4,28.2,28.9,65.3,5.9,2.7,45.1,0.53,0.4,64.6,0.0,39.7,38.0,7.1,6.0,49.2674372,-123.13437250000001,0.0,0.0,0,0,0,0,1,0,0,0,2.631578947368421,1.7543859649122806,21.1,0.0,7.0175438596491215
Brookside Lodge,937F0,Fraser Health,PFP,19550 Fraser Highway,Surrey,V3S6K5,Community Care & Assisted Living Act,Unknown,103,1.0,80.0,59.5,47.1,15.1,946.0,11.5,18.4,19.1,66.5,8.9,2.9,41.9,0.6,12.4,53.8,1.7,54.3,21.4,4.2,8.0,49.114096999999994,-122.681031,0.0,0.0,0,1,0,1,1,1,1,1,0.0,0.0,12.7,0.0,12.621359223300969
Buchanan Lodge,9A500,Fraser Health,PNP,409 Blair Ave,New Westminster,V3L4A4,Community Care & Assisted Living Act,Unknown,112,2.7,86.0,69.2,60.0,3.3,,13.7,39.9,26.7,67.0,8.4,2.2,62.0,0.57,8.4,2.3,0.2,39.6,19.4,12.6,3.0,49.22877315,-122.89808629846813,0.0,0.0,0,1,0,1,1,1,1,0,0.8928571428571428,0.0,14.300000000000002,0.8928571428571428,1.7857142857142856
Capilano Care Centre,9C414,Vancouver Coastal Health,PFP,525 Clyde Avenue,West Vancouver,V7T1C4,Hospital Act & Community Care & Assisted Living Act,Accredited,205,0.5,84.0,69.0,54.6,4.0,,46.6,19.0,32.8,74.4,9.1,2.9,45.7,0.56,0.3,29.6,0.3,59.6,19.0,0.7,3.0,49.329066,-123.13,0.0,0.0,0,1,1,1,1,1,1,0,0.975609756097561,0.0,36.6,0.0,1.4634146341463417
CareLife Fleetwood,9A5AD,Fraser Health,HA,8265 159th Street,Surrey,V4N5T5,Hospital Act,Unknown,191,0.5,80.0,60.7,47.5,16.3,,12.9,43.5,29.6,37.5,7.8,2.3,57.9,0.67,26.6,47.6,21.7,43.1,22.3,4.6,1.0,49.1527,-122.7822,0.0,0.0,0,1,0,1,1,0,0,0,0.5235602094240838,0.0,2.6,0.0,0.0
Carlton Gardens Care Centre,99FE5,Fraser Health,PFP,4108 Norfolk Street,Burnaby,V5G0B4,Community Care & Assisted Living Act,Accredited,128,1.6,84.0,67.6,53.5,1.8,723.0,7.5,26.6,25.5,70.7,21.2,1.8,69.2,0.55,1.9,4.0,0.2,47.5,27.3,4.6,3.0,49.2550436,-123.0128497,0.0,0.0,0,1,0,1,1,1,1,1,0.0,0.0,12.6,0.78125,3.90625
Cartier House Seniors Community,992EJ,Fraser Health,PFP,1419 Cartier St,Coquitlam,V3K2C6,Community Care & Assisted Living Act,Unknown,78,2.6,88.0,83.1,68.8,1.6,346.0,40.2,24.8,26.7,74.3,10.6,2.6,51.1,0.59,4.2,27.3,0.6,49.2,23.7,8.3,2.0,49.28317715,-122.78734899022074,0.0,0.0,0,1,0,1,1,1,1,0,1.282051282051282,1.282051282051282,11.6,0.0,6.41025641025641
Cedarview Lodge,9AF9E,Vancouver Coastal Health,HA,1200 Cedar Village Close,North Vancouver,V7J3P3,Community Care & Assisted Living Act,Accredited,89,0.0,84.0,64.2,54.1,2.3,968.0,22.4,33.3,45.8,81.6,7.5,2.3,62.3,0.54,3.4,54.2,2.2,68.2,49.7,13.5,0.0,49.326053,-123.04,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,8.9,0.0,0.0
Central City Lodge,99A78,Vancouver Coastal Health,PNP,415 West Pender St,Vancouver,V6B1V2,Community Care & Assisted Living Act,Not Accredited,100,2.0,70.0,19.7,6.7,30.9,,32.0,15.6,24.2,52.8,9.5,3.0,39.1,0.54,19.8,65.3,7.3,58.9,34.2,9.2,2.0,49.28313320000001,-123.1119351,1.0,0.0,1,1,0,1,1,0,0,0,0.0,0.0,12.0,0.0,0.0
Cherington Place,9B889,Fraser Health,PFP,13453 111A Ave,Surrey,V3R2C5,Community Care & Assisted Living Act,Unknown,75,1.3,87.0,72.3,65.9,1.8,353.0,20.7,20.7,25.4,68.2,5.7,3.6,27.5,0.56,1.3,20.4,0.7,43.5,16.0,5.1,8.0,49.20565300000001,-122.84933400000001,0.0,0.0,0,1,0,1,1,0,0,0,4.0,1.3333333333333337,6.6,0.0,0.0
Christenson Village,92I30,Vancouver Coastal Health,PNP,585 Shaw Road,Gibsons,V0N1V8,Community Care & Assisted Living Act,Accredited,80,0.0,86.0,77.0,67.1,2.1,,29.3,32.3,49.5,75.8,7.9,2.6,54.4,0.57,8.5,4.8,0.0,65.9,15.6,14.3,2.0,49.4045,-123.51899999999999,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,12.5,0.0,5.0
Columbus Residence,9BHG7,Vancouver Coastal Health,PNP,704 West 69th Avenue,Vancouver,V6P2W3,Community Care & Assisted Living Act,Accredited,76,0.0,85.0,77.6,60.4,0.9,,18.8,35.6,25.7,69.3,7.6,3.3,35.6,0.54,14.2,60.1,0.7,35.3,23.6,20.4,3.0,49.208775,-123.12100000000001,0.0,0.0,0,1,0,1,1,1,1,0,1.3157894736842104,0.0,6.5,0.0,0.0
Cottage and Worthington Pavilions - MSA Hospital,9A6GA,Fraser Health,HA,33457 Cottage Lane,Abbotsford,V2S0B3,Hospital Act,Unknown,119,0.8,89.0,65.6,73.9,3.2,90.0,17.3,38.8,27.1,32.0,5.8,2.3,62.6,0.58,25.2,75.7,1.2,48.6,20.7,7.8,1.0,49.04118560000001,-122.29631640000001,7.0,1.0,1,1,1,1,1,1,1,0,2.5210084033613445,0.8403361344537815,0.0,0.0,0.0
Crescent Gardens,91GD7,Fraser Health,PFP,1222 King George Boulevard,Surrey,V4A9W6,Community Care & Assisted Living Act,Unknown,75,2.7,89.0,70.6,72.7,1.7,638.0,8.0,13.7,9.0,44.0,6.7,2.6,51.3,0.54,1.0,1.3,0.0,34.7,22.2,5.5,3.0,49.02467100000001,-122.76523600000002,0.0,0.0,0,1,0,1,1,1,1,1,2.666666666666667,0.0,15.900000000000002,0.0,5.333333333333334
Czorny Alzheimer Centre,9327A,Fraser Health,HA,16850 66th Avenue,Surrey,V3S5M1,Hospital Act,Unknown,72,0.0,83.0,54.3,40.4,2.2,656.0,4.6,27.2,60.2,65.1,12.6,1.5,74.3,0.53,0.8,59.4,0.0,34.9,45.7,0.0,2.0,49.122409999999995,-122.75509,1.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,15.3,0.0,1.3888888888888888
Dania Home,99C1E,Fraser Health,PNP,4175 Norland Avenue,Burnaby,V5G3S7,Community Care & Assisted Living Act,Accredited,102,1.0,83.0,64.7,56.3,9.9,,19.3,16.7,14.1,59.0,5.0,2.9,40.2,0.61,15.4,56.7,0.3,41.0,13.1,12.4,3.0,49.247584,-122.975187,1.0,0.0,1,0,0,0,1,1,1,0,0.9803921568627452,0.0,8.9,0.9803921568627452,0.9803921568627452
Delta View Life Enrichment Centre,9940H,Fraser Health,PFP,9321 Burns Drive,Delta,V4K3N3,Hospital Act,Accredited,212,0.0,85.0,66.2,55.0,2.8,942.0,26.4,39.7,48.4,73.9,18.7,1.9,69.6,0.61,38.2,0.0,0.0,47.0,15.9,0.3,1.0,49.09130415,-122.96486604215154,1.0,0.0,1,1,0,1,1,1,1,1,0.0,0.0,6.6,0.0,0.0
Dogwood Lodge,999F1,Vancouver Coastal Health,HA,500 West 57th Avenue,Vancouver,V6P6E8,Community Care & Assisted Living Act,Accredited,83,0.0,84.0,78.0,56.0,1.6,914.0,25.9,43.5,42.3,61.7,6.8,2.6,53.4,0.54,35.8,2.2,0.3,44.4,20.4,0.9,1.0,49.218578,-123.118,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,3.6,0.0,0.0
Dufferin Care Centre,919C4,Fraser Health,PFP,1131 Dufferin St,Coquitlam,V3B7X5,Hospital Act,Accredited,153,0.7,84.0,73.9,53.6,1.4,601.0,19.0,39.1,49.8,77.3,15.6,0.9,88.4,0.57,0.0,55.3,0.0,43.1,27.3,4.6,3.0,49.2791682,-122.80399579999998,22.0,4.0,1,1,0,1,0,0,0,1,2.6143790849673203,0.6535947712418301,17.0,0.0,3.92156862745098
Eagle Ridge Manor - Port Moody,9C6EC,Fraser Health,HA,475 Guildford Way,Port Moody,V3H3W9,Hospital Act,Unknown,75,0.0,86.0,55.7,61.1,3.0,,31.6,52.5,33.8,48.7,1.9,3.6,30.0,0.63,26.2,57.4,7.6,41.8,14.0,7.4,0.0,49.28553745,-122.82369973641943,0.0,0.0,0,1,0,1,1,1,1,0,1.3333333333333337,1.3333333333333337,0.0,0.0,0.0
Eden Care Centre,9AB4F,Fraser Health,PFP,9100 Charles Street,Chilliwack,V2P5K6,Community Care & Assisted Living Act,Not Accredited,89,4.5,88.0,64.6,66.1,0.2,586.0,16.8,3.5,20.4,57.1,2.7,2.5,64.6,0.48,0.0,76.1,0.0,43.4,35.9,8.5,7.0,49.167238299999994,-121.9419001,8.0,1.0,1,0,0,0,1,1,1,0,7.865168539325843,3.3707865168539324,16.8,1.1235955056179776,7.865168539325843
Elim Village - The Harrison / Harrison West,9371A,Fraser Health,PNP,9025 160 Street,Surrey,V4N2X7,Community Care & Assisted Living Act,Accredited,194,2.1,87.0,67.5,67.2,2.1,772.0,22.9,36.8,23.5,63.2,11.8,2.8,46.5,0.61,0.7,6.4,0.0,42.6,24.2,4.2,6.0,49.167023,-122.7815006,1.0,0.0,1,1,0,1,1,1,1,1,1.0309278350515465,0.0,10.3,0.0,0.0
Evergreen - The Terraces / The Pointe,99420,Fraser Health,PNP,1550 Oxford St,White Rock,V4B3R5,Community Care & Assisted Living Act,Accredited,252,2.4,87.0,65.1,64.7,1.2,861.0,12.3,18.1,21.2,66.3,14.7,2.5,53.2,0.56,0.3,0.0,0.0,50.1,33.9,8.3,12.0,49.0264665,-122.8122029,0.0,0.0,0,0,0,0,1,1,1,1,1.5873015873015872,0.3968253968253968,15.900000000000002,0.0,1.1904761904761905
Evergreen Extended Care - Powell River Hospital,9A551,Vancouver Coastal Health,HA,4970 Joyce Ave.,Powell River,V8A5P2,Hospital Act,Accredited,75,1.3,84.0,63.1,61.1,4.1,777.0,11.3,32.5,27.4,42.0,5.7,2.2,59.0,0.58,1.9,0.5,0.5,50.9,34.8,24.4,2.0,49.8489957,-124.52262549999999,0.0,0.0,0,1,1,1,1,1,1,0,0.0,0.0,4.0,0.0,5.333333333333334
Evergreen House - Lions Gate Hospital,9A55C,Vancouver Coastal Health,HA,231 East 15th Street,North Vancouver,V7L2L7,Hospital Act,Accredited,289,0.3,84.0,63.7,55.8,5.7,575.0,23.6,36.4,28.0,55.9,5.6,3.0,39.1,0.61,28.2,14.6,6.9,55.5,28.6,1.6,3.0,49.32097835,-123.06767192461285,1.0,0.0,1,1,1,1,1,1,1,0,0.0,0.0,12.8,0.0,3.1141868512110724
Fair Haven - Burnaby,99C49,Fraser Health,PNP,7557 Sussex Ave.,Burnaby,V5J3V6,Community Care & Assisted Living Act,Accredited,100,1.0,87.0,66.8,63.7,0.8,,16.7,43.8,48.7,57.8,11.4,2.2,58.5,0.57,9.2,84.3,0.0,36.6,25.4,12.6,3.0,49.21526995,-123.0059056805597,0.0,0.0,0,0,0,0,1,1,1,0,2.0,1.0,25.0,1.0,4.0
Fellburn Care Centre,9A575,Fraser Health,HA,6050 Hastings St.,Burnaby,V5B1R6,Hospital Act,Accredited,81,0.0,87.0,66.8,64.6,7.3,606.0,15.4,43.0,35.5,51.5,14.0,2.2,59.7,0.65,14.7,39.6,4.4,31.7,10.4,2.4,2.0,49.280316799999994,-122.9624341,0.0,0.0,0,1,1,1,1,1,1,0,3.7037037037037033,0.0,4.9,1.2345679012345678,4.938271604938271
Finnish Home,999CF,Vancouver Coastal Health,PNP,2288 Harrison Drive,Vancouver,V5P2P6,Community Care & Assisted Living Act,Not Accredited,64,1.6,86.0,66.7,60.1,1.1,902.0,30.4,36.5,27.7,62.7,5.4,2.2,61.2,0.59,20.4,0.0,0.4,54.6,25.4,6.3,1.0,49.20822879999999,-123.06074540000002,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,12.5,0.0,1.5625
Fleetwood Place,993E2,Fraser Health,PFP,16011 83rd Ave,Surrey,V4N0N2,Community Care & Assisted Living Act,Accredited,111,0.0,88.0,61.7,66.7,2.2,,9.5,37.8,38.1,50.0,7.4,2.6,53.7,0.58,50.3,65.9,0.5,54.8,28.2,19.0,2.0,49.153895,-122.778049,0.0,0.0,0,0,0,0,1,1,1,1,0.9009009009009008,0.0,11.7,0.0,3.603603603603604
Fort Langley Seniors Community,9ACEC,Fraser Health,PFP,8838 Glover Road,Langley,V1M2R4,Hospital Act,Unknown,96,0.0,90.0,66.2,75.7,0.4,,17.0,38.3,31.6,73.5,5.3,2.6,37.7,0.6,25.4,69.8,0.0,47.5,20.1,0.0,10.0,49.113251299999995,-122.6442649,0.0,0.0,0,1,0,1,1,1,1,1,4.166666666666666,1.0416666666666663,12.4,1.0416666666666663,3.125
Foyer Maillard,992J9,Fraser Health,PNP,1010 Alderson Avenue,Coquitlam,V3K1W1,Community Care & Assisted Living Act,Not Accredited,125,0.0,87.0,69.4,62.0,1.0,570.0,32.4,24.5,24.5,64.1,10.4,2.6,50.6,0.56,24.3,27.6,0.4,43.2,26.2,4.5,1.0,49.23926289999999,-122.8662457,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,3.2,0.0,0.8
Fraser Hope Lodge,9BJC6,Fraser Health,HA,1275-7th Avenue,Hope,V0X1L4,Hospital Act,Unknown,50,0.0,89.0,53.6,70.0,3.7,,34.6,18.7,33.0,67.0,8.8,3.1,47.3,0.59,22.0,67.0,4.9,58.8,22.5,2.1,1.0,49.3773925,-121.42378463532327,0.0,0.0,0,1,0,1,1,1,1,0,0.0,0.0,6.0,0.0,6.0
Fraserview,99BEI,Vancouver Coastal Health,PFP,9580 Williams Road,Richmond,V7A1H2,Community Care & Assisted Living Act,Accredited,101,1.0,90.0,83.7,80.7,0.2,,18.5,49.0,19.0,75.1,3.3,1.9,71.1,0.57,1.8,1.0,0.0,21.1,23.1,3.1,3.0,49.140789700000006,-123.11415559999999,0.0,0.0,0,1,0,1,1,1,1,0,0.0,0.0,7.0,0.0,0.0
George Derby Centre,9BC9J,Fraser Health,PNP,7550 Cumberland St,Burnaby,V3N3X5,Community Care & Assisted Living Act,Accredited,300,0.0,87.0,32.8,65.9,1.4,699.0,19.2,28.8,22.1,60.5,18.1,2.2,60.9,0.56,0.9,9.3,0.6,40.4,26.1,5.9,9.0,49.23360200000001,-122.91648799999999,8.0,1.0,1,1,0,1,1,1,1,0,1.6666666666666667,0.6666666666666667,16.0,0.6666666666666667,10.666666666666666
George Pearson Centre,9A5BF,Vancouver Coastal Health,HA,700 West 57th Ave.,Vancouver,V6P1S1,Hospital Act,Accredited,114,0.0,59.0,24.4,2.9,67.5,,15.4,64.6,31.3,3.9,2.5,3.1,29.4,0.89,54.5,56.1,32.4,47.4,24.7,18.6,3.0,49.21877,-123.121144,0.0,0.0,0,1,1,1,1,0,0,0,0.8771929824561403,0.8771929824561403,16.6,0.0,7.0175438596491215
German Canadian Care Home,999D6,Vancouver Coastal Health,PNP,2010 Harrison Drive,Vancouver,V5P2P6,Community Care & Assisted Living Act,Accredited,132,0.0,83.0,47.6,52.5,5.4,688.0,14.2,36.4,37.3,52.3,7.2,2.5,42.4,0.52,37.5,76.5,42.3,40.1,40.5,10.0,7.0,49.2098793,-123.0651145,1.0,0.0,1,1,0,1,1,1,1,0,0.0,0.0,16.0,0.0,0.7575757575757576
Glenwood Seniors Community,923FA,Fraser Health,PFP,1458 Glenwood Dr,Agassiz,V0M1A3,Community Care & Assisted Living Act,Unknown,44,0.0,89.0,64.8,73.0,0.5,638.0,25.0,12.9,22.6,80.6,21.8,2.8,50.8,0.58,4.8,81.5,0.0,38.7,7.3,0.0,4.0,49.2308549,-121.75817859999998,0.0,0.0,0,0,0,0,1,1,1,1,2.272727272727273,0.0,6.9,0.0,22.72727272727273
Guildford Seniors Village,926CA,Fraser Health,PFP,14568 104a Ave.,Surrey,V3R1R3,Community Care & Assisted Living Act,Accredited,101,0.0,83.0,44.9,50.7,4.4,873.0,22.1,33.3,40.4,69.7,11.1,2.2,61.1,0.6,0.0,62.2,0.0,44.2,26.5,15.1,7.0,49.192422,-122.8183,1.0,0.0,1,0,0,0,1,1,1,1,0.0,0.0,16.9,0.0,0.0
Haro Park Centre,9A4I4,Vancouver Coastal Health,PNP,1233 Haro Street,Vancouver,V6E3Y5,Community Care & Assisted Living Act,Unknown,154,0.0,84.0,73.5,55.1,4.3,839.0,36.1,21.4,22.1,67.1,8.7,3.3,33.5,0.52,3.9,83.7,1.1,53.3,34.1,7.2,7.0,49.285771000000004,-123.12899999999999,89.0,13.0,1,0,0,0,1,0,0,0,1.2987012987012987,0.0,39.5,0.0,2.5974025974025974
Hawthorne Seniors Care Community,992JA,Fraser Health,PNP,2111 Hawthorne Ave,Port Coquitlam,V3C1W3,Hospital Act,Unknown,131,0.8,82.0,55.5,49.0,6.6,772.0,12.2,41.9,44.1,53.7,12.8,2.2,65.6,0.59,0.0,56.9,0.0,41.9,32.7,2.2,1.0,49.2570112,-122.7792222,0.0,0.0,0,1,0,1,1,1,1,0,0.0,0.0,21.3,0.7633587786259541,6.106870229007634
Heritage Village,9C5BC,Fraser Health,HA,7525 Topaz Dr,Chilliwack,V2R3C9,Hospital Act,Accredited,100,2.0,85.0,54.4,58.4,3.4,940.0,11.8,31.0,43.4,64.8,12.7,2.3,55.2,0.57,3.4,58.0,0.0,54.9,27.3,3.4,2.0,49.1407098,-121.9665418,0.0,0.0,0,1,1,1,1,1,1,0,0.0,0.0,25.0,1.0,9.0
Hilltop House,9AIC3,Vancouver Coastal Health,HA,38146 Behrner Drive,Squamish,V8B0C8,Community Care & Assisted Living Act,Accredited,86,0.0,80.0,62.5,50.0,12.5,817.0,35.4,27.7,18.0,59.2,6.1,1.7,68.5,0.56,5.1,4.8,0.0,49.8,16.6,1.4,3.0,49.699647999999996,-123.14,0.0,0.0,0,1,0,1,1,1,1,0,0.0,0.0,15.2,0.0,4.651162790697675
Hilton Villa Seniors Community,917D8,Fraser Health,PFP,13525 Hilton Rd,Surrey,V3R5J3,Community Care & Assisted Living Act,Accredited,157,1.9,86.0,69.8,62.9,5.1,749.0,20.7,33.2,37.5,66.5,12.7,2.9,43.1,0.59,45.3,3.8,0.0,45.8,10.2,6.7,10.0,49.20242145,-122.84672725264092,0.0,0.0,0,1,0,1,1,1,1,1,1.9108280254777068,0.6369426751592357,14.0,0.0,0.6369426751592357
Hogg and Weatherby Pavilions - Peace Arch Hospital,9A58I,Fraser Health,HA,15521 Russell Ave.,White Rock,V4B2R4,Hospital Act,Unknown,234,0.9,90.0,73.9,76.9,2.2,785.0,17.7,28.0,24.2,48.3,8.6,2.6,52.3,0.57,15.5,67.0,12.4,48.2,18.8,3.2,2.0,49.03015955,-122.79236955,0.0,0.0,0,1,1,1,1,1,1,0,0.8547008547008548,0.0,11.6,0.0,1.282051282051282
Holy Family Hospital,9A5D8,Vancouver Coastal Health,PNP,7801 Argyle St.,Vancouver,V5P3L6,Hospital Act,Accredited,126,1.6,85.0,79.1,58.3,4.0,761.0,24.8,36.6,29.7,52.8,3.9,2.8,48.6,0.62,7.3,9.6,7.3,49.2,17.5,2.9,2.0,49.213284,-123.073098,88.0,21.0,1,1,1,1,1,1,1,0,0.0,0.0,5.6,0.0,3.1746031746031744
Holyrood Manor,91842,Fraser Health,PFP,22710 Holyrood Ave,Maple Ridge,V2X3E6,Hospital Act,Accredited,125,0.8,86.0,81.5,58.3,3.3,,31.0,19.9,25.2,71.9,11.9,2.3,52.8,0.61,0.0,70.6,0.0,50.1,20.0,1.2,1.0,49.2122959,-122.59390420000001,0.0,0.0,0,1,0,1,0,1,0,1,0.0,0.0,17.6,0.8,1.6
Inglewood Care Centre,999J9,Vancouver Coastal Health,PFP,725 Inglewood Avenue,West Vancouver,V7T1X5,Hospital Act & Community Care & Assisted Living Act,Unknown,230,0.0,86.0,65.4,66.4,2.1,,29.2,30.0,38.9,76.3,11.9,2.9,40.9,0.54,6.3,22.5,0.0,53.4,19.9,3.8,13.0,49.3354367,-123.1356688,1.0,0.0,1,1,0,1,1,1,1,0,2.1739130434782608,1.7391304347826086,26.000000000000004,0.0,3.4782608695652173
Jackman Manor,9ADHD,Fraser Health,PNP,27477 28 Ave,Aldergrove,V4W3L9,Community Care & Assisted Living Act,Not Accredited,88,0.0,88.0,70.1,72.0,1.4,,22.6,28.7,36.4,77.7,7.3,2.2,58.7,0.54,7.9,2.1,0.0,44.9,15.5,4.9,3.0,49.0538233,-122.46304029999999,0.0,0.0,0,0,0,0,1,1,1,0,2.272727272727273,1.1363636363636365,1.1,0.0,10.227272727272727
Jubilee Multi Generational Housing Society,99C25,Fraser Health,PNP,3460 Kalyk Avenue,Burnaby,V5G3B2,Community Care & Assisted Living Act,Not Accredited,60,3.3,89.0,68.9,71.6,0.0,656.0,20.9,37.8,47.4,28.3,4.3,3.4,33.5,0.59,12.6,1.3,0.0,40.0,7.7,1.3,3.0,49.2528169,-123.01300249999998,0.0,0.0,0,1,1,1,1,1,1,0,5.0,1.6666666666666667,21.7,5.0,13.333333333333332
